Date,,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,TSLA,META,HSBC,LLY,TSM,V,UNH,XOM,JPM,WMT,NVO,JNJ
2018-01-02,AAPL,0.00016275694999850495,6.088507410486518e-05,9.019139996472561e-05,8.740714145418719e-05,0.0001114135254107382,0.00017548655238678855,0.00015434960721771144,0.00011680478186104496,3.204850113797317e-05,1.4843126072508805e-05,0.00010327093193890329,5.622797485431712e-05,1.2504050196538902e-05,2.915992206031959e-05,-7.199625669967819e-06,2.172417294289377e-05,5.358390975272102e-05,-6.9283003407262005e-06
2018-01-02,MSFT,6.088507410486518e-05,0.00014117865460817945,7.53402626633457e-05,7.35459415315266e-05,9.884923647174305e-05,0.00016025424191120594,0.00014092167635445775,9.227720934452919e-05,1.0210893459361015e-06,1.4195169893261447e-05,3.169598357780405e-05,9.016245690368394e-05,4.5705857939559514e-05,2.719675843869887e-06,-6.479785391062607e-06,2.087846039849435e-06,8.782187029107415e-05,5.360196832005664e-05
2018-01-02,GOOG,9.019139996472561e-05,7.53402626633457e-05,0.00012671900133124966,0.00012438544787761376,0.0001315677626268278,0.00017971689800520455,0.00013142195358263628,0.0001309924245551564,-3.2073785146929316e-06,1.3202516213458484e-05,4.7406235245837966e-05,7.314265886172725e-05,-6.916112421253467e-06,-6.6232020883710186e-06,-3.5793489740838826e-05,2.3011832295645398e-05,3.790623205914564e-05,9.902545075692365e-06
2018-01-02,GOOGL,8.740714145418719e-05,7.35459415315266e-05,0.00012438544787761376,0.0001242470310112831,0.00013130780061679155,0.00017754535862158608,0.00011654164853636527,0.00013246318934419002,-2.7785105351046013e-06,1.757282869679781e-05,4.3511134610038025e-05,7.074376318477388e-05,-7.05438644495421e-06,-7.97745104711266e-06,-4.199228858212218e-05,2.5892342327268534e-05,3.461248810625193e-05,9.208043056671859e-06
2018-01-02,AMZN,0.0001114135254107382,9.884923647174305e-05,0.0001315677626268278,0.00013130780061679155,0.00023988730885993772,0.00027089139407838596,0.00013219063383996537,0.0001764811860826007,4.415444751537948e-06,1.560105088862716e-05,7.78916832455834e-05,0.00011271143954515731,2.0572886223755858e-05,4.946303997906262e-06,-5.8956743743191955e-05,2.5156005140054317e-05,8.482265357789509e-05,1.722225065585658e-05
2018-01-02,NVDA,0.00017548655238678855,0.00016025424191120594,0.00017971689800520455,0.00017754535862158608,0.00027089139407838596,0.0005065426781345923,0.00017044229261884678,0.00025231216511249267,-1.2054766540332144e-07,-2.3364469811584705e-05,0.00016297345861589595,0.00015555720223983847,5.152376770046315e-06,1.192601663546288e-05,-7.187139524146361e-05,1.50560176421468e-05,0.00013908742533377396,-1.5075024218830593e-06
2018-01-02,TSLA,0.00015434960721771144,0.00014092167635445775,0.00013142195358263628,0.00011654164853636527,0.00013219063383996537,0.00017044229261884678,0.0005144096210657978,0.00014656564202014191,1.883333466281039e-05,5.258545182929467e-06,0.00010260923072735461,9.463265145138563e-05,5.259817435752351e-06,1.802556481979038e-05,1.203622557195135e-05,-3.17638119909075e-05,0.00016212005585448225,7.329344178872189e-05
2018-01-02,META,0.00011680478186104496,9.227720934452919e-05,0.0001309924245551564,0.00013246318934419002,0.0001764811860826007,0.00025231216511249267,0.00014656564202014191,0.00020858187043891344,-3.0763893754446165e-06,1.7378844990699792e-05,0.00010585659596491058,0.00010908498139063408,4.323073496757257e-06,7.402259552944822e-06,-5.618344953028766e-05,1.2472675168480342e-05,6.996306940507745e-05,9.827903646486934e-06
2018-01-02,HSBC,3.204850113797317e-05,1.0210893459361015e-06,-3.2073785146929316e-06,-2.7785105351046013e-06,4.415444751537948e-06,-1.2054766540332144e-07,1.883333466281039e-05,-3.0763893754446165e-06,7.655896775474355e-05,1.5095708118873519e-05,2.2453805481678694e-05,1.4686643751676e-06,1.4112424618376064e-05,2.919041739698769e-05,1.3078413916973707e-05,-7.735497427819537e-06,2.5243564102087472e-05,-2.0338780752174845e-06
2018-01-02,LLY,1.4843126072508805e-05,1.4195169893261447e-05,1.3202516213458484e-05,1.757282869679781e-05,1.560105088862716e-05,-2.3364469811584705e-05,5.258545182929467e-06,1.7378844990699792e-05,1.5095708118873519e-05,8.53546746831675e-05,1.9226690392409324e-06,5.578284591883603e-06,1.7046810384330962e-05,-1.6963556932067337e-06,6.623594934879371e-06,5.878442384776675e-05,-2.9107091210312715e-06,2.3401004435427223e-05
2018-01-02,TSM,0.00010327093193890329,3.169598357780405e-05,4.7406235245837966e-05,4.3511134610038025e-05,7.78916832455834e-05,0.00016297345861589595,0.00010260923072735461,0.00010585659596491058,2.2453805481678694e-05,1.9226690392409324e-06,0.0001756021648098532,4.6784555919808435e-05,-9.37414057323493e-06,2.644879404180891e-05,-1.2972080665106692e-05,1.974805624312348e-05,7.028857700840739e-05,-1.9358077499605752e-05
2018-01-02,V,5.622797485431712e-05,9.016245690368394e-05,7.314265886172725e-05,7.074376318477388e-05,0.00011271143954515731,0.00015555720223983847,9.463265145138563e-05,0.00010908498139063408,1.4686643751676e-06,5.578284591883603e-06,4.6784555919808435e-05,0.00010033195319429801,3.1798734998056656e-05,3.631480009282496e-06,-1.8995582135907733e-05,1.0116365244225214e-05,6.953258445813904e-05,2.425516532003051e-05
