,JNJ,Date,NVO,WMT,JPM,XOM,UNH,V,TSM,LLY,HSBC,META,TSLA,NVDA,AMZN,GOOGL,GOOG,MSFT,AAPL
23,1.1874384,2018-02-05,0.40026608,0.85449266,1.2738963,0.67381567,2.2989588,1.2937342,0.40538308,1.4229574,0.47977164,1.8220855,0.59552234,0.38670838,1.1149697,0.6327129,0.51275766,1.0129752,0.5117896
24,1.1878037,2018-02-06,0.40038496,0.8547803,1.273806,0.6779711,2.297948,1.2938944,0.40543157,1.4292654,0.48047578,1.8220855,0.5966017,0.38701272,1.1158644,0.63089025,0.5139077,1.013202,0.5120201
25,1.1871884,2018-02-07,0.40006176,0.8549791,1.2743013,0.68370324,2.2965796,1.2936597,0.40490064,1.4287809,0.48068377,1.8220855,0.5978724,0.38745987,1.11425,0.6291315,0.5052527,1.0132605,0.511752
26,1.1871946,2018-02-08,0.40023944,0.85504407,1.274132,0.6904108,2.296187,1.2937645,0.40502045,1.4227998,0.48096895,1.8220855,0.5993056,0.387544,1.114651,0.6284467,0.5081052,1.0130563,0.51165193
27,1.1874791,2018-02-09,0.40022933,0.8550227,1.2745284,0.6965258,2.2964487,1.2934535,0.40529224,1.4192199,0.48077902,1.8220855,0.6010235,0.38768587,1.1151279,0.63087064,0.5058512,1.0128473,0.5114349
28,1.1873282,2018-02-12,0.40025818,0.85368747,1.2739309,0.7024398,2.2964098,1.2943932,0.40518162,1.4205964,0.48092553,1.8220855,0.60169935,0.38784948,1.1157666,0.6313366,0.5056167,1.0132722,0.50974274
29,1.1872356,2018-02-13,0.40021482,0.851715,1.2752004,0.7080094,2.2965512,1.292014,0.4049312,1.4201998,0.48113203,1.8220855,0.6033016,0.38799113,1.1133417,0.6305991,0.5024908,1.0130051,0.5083167
30,1.187278,2018-02-14,0.4003539,0.85188866,1.2748601,0.7126144,2.297534,1.2940816,0.405221,1.4307765,0.48118448,1.8220855,0.60454684,0.38798246,1.1161636,0.63253856,0.50730443,1.0133183,0.5091448
31,1.1869897,2018-02-15,0.40043992,0.8534105,1.2745249,0.7174291,2.2990396,1.2920766,0.40513214,1.4264803,0.4812373,1.8220855,0.6059627,0.3880551,1.1143202,0.6323736,0.4914108,1.0129756,0.5087389
32,1.1872191,2018-02-16,0.40052253,0.85326093,1.2754294,0.72220445,2.300139,1.292821,0.4051329,1.4295598,0.48110974,1.8220855,0.6075861,0.38805786,1.1145717,0.6354381,0.49841854,1.0124848,0.5089234
33,1.1873363,2018-02-20,0.40058905,0.85312957,1.2751269,0.7274236,2.3020658,1.2944143,0.40529034,1.4314823,0.48087844,1.8220855,0.60972106,0.3880899,1.1160698,0.6364072,0.5075382,1.0130998,0.5098914
34,1.1868865,2018-02-21,0.40060177,0.85328907,1.2746087,0.73311716,2.3041945,1.2929591,0.4051887,1.433485,0.48144692,1.8220855,0.61127275,0.38821685,1.1159998,0.63826823,0.50842696,1.0127752,0.5105872
35,1.1875176,2018-02-22,0.40066212,0.85323995,1.2743753,0.73896605,2.3062165,1.2941494,0.4055089,1.4364394,0.4822525,1.8220855,0.61320597,0.38826665,1.1173911,0.63984525,0.5119014,1.0122252,0.51086146
36,1.1875155,2018-02-23,0.4004874,0.85298723,1.2746843,0.74414307,2.3086207,1.2937555,0.4037286,1.439572,0.48155522,1.8220855,0.6148821,0.38851377,1.1149806,0.6387884,0.5118146,1.0125031,0.51018214
37,1.187697,2018-02-26,0.40052274,0.85290134,1.2769873,0.74927807,2.3118489,1.2941712,0.40449348,1.4408718,0.48105752,1.8220855,0.6165144,0.38897365,1.1154159,0.6375646,0.49867713,1.0132884,0.50905496
38,1.1871129,2018-02-27,0.40040708,0.8528777,1.2769601,0.7548264,2.3153863,1.288909,0.40270022,1.4401579,0.4812065,1.8220855,0.61829376,0.38944143,1.1087762,0.6349035,0.4683301,1.0129997,0.50590324
39,1.1868793,2018-02-28,0.40042907,0.8527528,1.2764808,0.76004285,2.3190548,1.2937429,0.4037788,1.4368128,0.4808182,1.8220855,0.62054586,0.38937467,1.1157845,0.6367283,0.4784192,1.0132984,0.5071208
40,1.1874106,2018-03-01,0.40050235,0.85263735,1.2760324,0.76751786,2.3221078,1.2901525,0.4040003,1.4411037,0.48101535,1.8220855,0.6225603,0.3895745,1.1131909,0.6352966,0.46130645,1.0139079,0.5065996
41,1.1869577,2018-03-02,0.4002644,0.85238963,1.2765422,0.77388334,2.3237665,1.2873611,0.40375578,1.442108,0.4814297,1.8220855,0.62482,0.38979137,1.1094999,0.635279,0.46066564,1.0135399,0.5058971
42,1.1874136,2018-03-05,0.40009072,0.8524156,1.2748231,0.7799621,2.324544,1.2914015,0.4038993,1.4439758,0.48120597,1.8220855,0.6271968,0.38979885,1.1144174,0.6396705,0.47286642,1.013032,0.5058451
43,1.1876647,2018-03-06,0.40031913,0.85217106,1.2748295,0.7842507,2.3249826,1.2918826,0.40319544,1.4396435,0.48077723,1.8220855,0.62959826,0.38974878,1.1152899,0.6411411,0.48928702,1.0133808,0.5053055
44,1.1870797,2018-03-07,0.4002262,0.85200566,1.2749461,0.7886592,2.3255608,1.2926365,0.40367207,1.441307,0.48081815,1.8220855,0.6309752,0.38978285,1.1152154,0.6424355,0.4937261,1.0129344,0.50573593
45,1.1874946,2018-03-08,0.4002905,0.8518184,1.2755527,0.7942924,2.326153,1.2927327,0.40395343,1.4438752,0.48104087,1.8220855,0.63263416,0.38975906,1.1143914,0.64064354,0.49655065,1.013186,0.5060586
46,1.1874576,2018-03-09,0.40033862,0.8517442,1.2750286,0.8002108,2.3265634,1.2918884,0.40435272,1.4448727,0.48092246,1.8220855,0.6340141,0.3897319,1.1153401,0.64203525,0.49833786,1.013263,0.5078744
47,1.1874897,2018-03-12,0.40044734,0.85161275,1.2757533,0.80574185,2.326058,1.292838,0.40421546,1.4448919,0.48182788,1.8220855,0.6342591,0.38994816,1.1143705,0.64257795,0.49643636,1.0133665,0.50779706
48,1.1873143,2018-03-13,0.40052086,0.85152626,1.2745677,0.8107276,2.3264546,1.2921947,0.4042998,1.4475497,0.48083442,1.8220855,0.63438916,0.39015487,1.1144447,0.6450888,0.4969849,1.013355,0.50805366
49,1.1868342,2018-03-14,0.4004135,0.8509752,1.2746915,0.8155167,2.3265855,1.291736,0.40438914,1.4404806,0.48194936,1.8220855,0.6352877,0.39016303,1.1154532,0.6470198,0.49890232,1.012921,0.5082228
50,1.1869949,2018-03-15,0.40032116,0.8508038,1.2761414,0.8194554,2.3265696,1.2927091,0.40433928,1.438455,0.48175234,1.8220855,0.63615984,0.39005306,1.1141812,0.64666957,0.49450186,1.0142447,0.50891674
51,1.1871204,2018-03-16,0.40036,0.85118777,1.275404,0.8271247,2.3276267,1.2923476,0.4043337,1.4373574,0.48130023,1.8220855,0.6367931,0.38995528,1.1157184,0.64546615,0.50930816,1.0134308,0.5101277
52,1.1872419,2018-03-19,0.40035945,0.85134274,1.2749298,0.8328183,2.3273022,1.2913371,0.40437478,1.439434,0.48130986,1.8220855,0.6378076,0.39003804,1.1146681,0.6453989,0.5035941,1.0133818,0.50893945
53,1.1870812,2018-03-20,0.40031555,0.85135496,1.2749897,0.8373156,2.3272123,1.2921184,0.40442604,1.4338505,0.47536108,1.8220855,0.63906634,0.39005783,1.1139579,0.64680684,0.5016178,1.0132846,0.50888985
54,1.1872447,2018-03-21,0.40039754,0.8508355,1.2757585,0.84255356,2.3269007,1.2925096,0.40433872,1.432532,0.47990417,1.8220855,0.6403575,0.39022937,1.114863,0.6480509,0.504054,1.0129958,0.50933194
