Date,AAPL,AMT,AMZN,DUK,IBM,JPM,NVDA,SHW,UNH,UPS,XOM
2010-01-04,6.4875311851501465,34.62171936035156,6.695000171661377,27.67573356628418,78.34589385986328,30.073074340820312,4.240800380706787,17.591312408447266,25.685121536254883,38.50770950317383,40.98311996459961
2010-01-05,6.49875020980835,35.19529342651367,6.734499931335449,27.219087600708008,77.39945220947266,30.65559959411621,4.302727222442627,17.174842834472656,25.644393920898438,38.57390594482422,41.14312744140625
2010-01-06,6.395378589630127,35.37852096557617,6.612500190734863,27.31693458557129,76.89665985107422,30.82403564453125,4.330250263214111,16.949493408203125,25.89691925048828,38.28929901123047,41.49872589111328
2010-01-07,6.3835554122924805,35.28293228149414,6.5,27.447410583496094,76.63047790527344,31.43461036682129,4.245388507843018,17.100679397583008,26.890766143798828,37.9980583190918,41.36834716796875
2010-01-08,6.425995826721191,35.35463333129883,6.676000118255615,27.463712692260742,77.39945220947266,31.357406616210938,4.2545623779296875,17.246150970458984,26.638229370117188,39.82483673095703,41.202392578125
2010-01-11,6.369309902191162,35.03596115112305,6.515500068664551,27.740964889526367,76.58908081054688,31.252126693725586,4.194931507110596,17.009395599365234,26.817447662353516,41.578792572021484,41.6646728515625
2010-01-12,6.2968573570251465,34.605777740478516,6.367499828338623,27.773574829101562,77.19835662841797,30.522245407104492,4.05272912979126,16.949493408203125,26.108732223510742,41.30083084106445,41.45723342895508
2010-01-13,6.385676860809326,35.33869552612305,6.45550012588501,27.83880615234375,77.03271484375,31.055639266967773,4.1077752113342285,17.16628646850586,26.507898330688477,41.082393646240234,41.291290283203125
2010-01-14,6.34869384765625,35.537837982177734,6.367499828338623,27.83880615234375,78.2630386352539,31.364416122436523,4.043554306030273,17.266117095947266,27.143295288085938,41.16843795776367,41.29722213745117
2010-01-15,6.242596626281738,35.05189895629883,6.35699987411499,27.561561584472656,77.94955444335938,30.65559959411621,3.924288749694824,16.883888244628906,27.49358558654785,40.989723205566406,40.95940017700195
2010-01-19,6.518758296966553,35.203250885009766,6.380499839782715,27.871431350708008,79.34552764892578,30.374862670898438,3.9976837635040283,16.93522834777832,28.617773056030273,41.201534271240234,41.0542106628418
2010-01-20,6.418416500091553,35.31478500366211,6.289000034332275,27.610496520996094,77.04454040527344,30.459087371826172,3.9816277027130127,16.769784927368164,28.145294189453125,40.48007583618164,40.319313049316406
2010-01-21,6.307466983795166,35.03596115112305,6.330999851226807,27.202781677246094,76.30514526367188,28.451866149902344,3.910527467727661,16.718435287475586,26.964088439941406,39.51376724243164,39.53105926513672
2010-01-22,5.994626522064209,33.60203552246094,6.071499824523926,26.99077033996582,74.23485565185547,27.483362197875977,3.775207281112671,16.544437408447266,27.012958526611328,38.88496398925781,39.17546844482422
2010-01-25,6.155897617340088,34.414588928222656,6.015500068664551,27.170156478881836,74.60160064697266,27.518447875976562,3.8394267559051514,16.806865692138672,26.882619857788086,38.88496398925781,39.027305603027344
2010-01-26,6.2428998947143555,33.88882064819336,5.973999977111816,27.414783477783203,74.3827133178711,26.978042602539062,3.717867374420166,17.922195434570312,26.426429748535156,38.81218338012695,39.06877899169922
2010-01-27,6.301706790924072,33.984405517578125,6.137499809265137,27.30063247680664,74.7258071899414,27.602664947509766,3.8187859058380127,18.218852996826172,27.07813262939453,39.27548599243164,38.843570709228516
2010-01-28,6.041308879852295,33.71354293823242,6.301499843597412,27.10493278503418,73.19970703125,27.707935333251953,3.6903457641601562,18.136133193969727,27.232912063598633,39.023963928222656,38.49980926513672
2010-01-29,5.822138786315918,33.81712341308594,6.270500183105469,26.95813751220703,72.39525604248047,27.328956604003906,3.5297961235046387,18.070526123046875,26.882619857788086,38.2363395690918,38.185707092285156
2010-02-01,5.903077125549316,34.3189811706543,5.94350004196167,27.153852462768555,73.74388122558594,27.813217163085938,3.8004355430603027,18.432785034179688,26.988525390625,38.6467170715332,39.22287368774414
2010-02-02,5.937333106994629,34.27915954589844,5.906000137329102,27.333253860473633,74.2525863647461,28.45888900756836,3.8394267559051514,18.7009220123291,27.73797607421875,38.79894256591797,39.68515396118164
2010-02-03,6.039489269256592,34.08797836303711,5.954999923706055,27.137531280517578,74.32947540283203,28.276418685913086,3.8715362548828125,18.327251434326172,27.143295288085938,38.96440505981445,39.471797943115234
2010-02-04,5.821835994720459,32.67790985107422,5.796999931335449,26.69721031188965,72.7560806274414,26.914880752563477,3.64676833152771,18.2131404876709,26.442733764648438,37.91865158081055,38.35757827758789
2010-02-05,5.925204753875732,31.945030212402344,5.869500160217285,26.615663528442383,73.06365203857422,26.879796981811523,3.7201616764068604,18.22740936279297,26.507898330688477,37.85908126831055,38.40498733520508
2010-02-08,5.884585380554199,32.399105072021484,5.8414998054504395,26.615663528442383,72.41602325439453,26.458698272705078,3.7132809162139893,18.027740478515625,26.401996612548828,37.47520065307617,38.38709259033203
2010-02-09,5.947335720062256,33.020477294921875,5.901500225067139,27.007078170776367,73.20626068115234,26.942949295043945,3.683464765548706,18.190324783325195,26.882619857788086,37.9980583190918,38.8941535949707
2010-02-10,5.914898872375488,33.132015228271484,5.868000030517578,26.841585159301758,72.96858978271484,27.279827117919922,3.754565715789795,17.964981079101562,26.646381378173828,37.77303695678711,38.68535614013672
2010-02-11,6.022513389587402,33.87287902832031,6.004499912261963,26.825040817260742,73.51522064208984,27.385099411010742,3.926584482192993,18.178911209106445,26.980377197265625,37.85311508178711,38.91801834106445
