Date,UNH,SHW,AMT,AAPL,AMZN,UPS,DUK,XOM,JPM,MSFT
2009-01-07,21.393341064453125,16.553918838500977,22.91871452331543,2.7588913440704346,2.809999942779541,34.115867614746094,23.57279586791992,45.32784652709961,19.459421157836918,14.488183975219728
2009-01-08,21.726856231689453,16.979169845581055,22.76886367797852,2.81012225151062,2.8580000400543213,33.349365234375,23.61878204345703,45.81440734863281,18.85672378540039,14.941161155700684
2009-01-09,21.515357971191406,16.50944709777832,22.390304565429688,2.745856761932373,2.775500059127808,32.53175735473633,23.404203414916992,44.933929443359375,17.990779876708984,14.495603561401367
2009-01-12,20.840208053588867,16.29265785217285,22.09849548339844,2.6876537799835205,2.595999956130981,32.3528938293457,23.55746841430664,44.337284088134766,17.256467819213867,14.458477020263672
2009-01-13,20.628711700439453,16.300996780395508,22.45339584350586,2.658855438232422,2.572499990463257,31.771642684936523,23.2356014251709,45.136680603027344,18.2540340423584,14.718376159667969
2009-01-14,19.5875186920166,15.52277660369873,22.13792610168457,2.5867066383361816,2.424499988555908,30.756017684936523,22.97505187988281,43.50314331054688,17.949222564697266,14.176287651062012
2009-01-15,20.24639892578125,15.658966064453123,22.603246688842773,2.527594804763794,2.572000026702881,30.851821899414062,22.775806427001957,44.40679550170898,16.861597061157227,14.28767204284668
2009-01-16,20.742599487304688,15.948016166687012,22.926597595214844,2.4957644939422607,2.5794999599456787,30.7879581451416,23.021039962768555,45.24092864990234,15.808611869812012,14.636699676513672
2009-01-20,19.6525936126709,15.322668075561523,22.04329490661621,2.370567560195923,2.421999931335449,29.337980270385746,22.806459426879883,44.19246673583984,12.531895637512209,13.72329330444336
2009-01-21,20.37655258178711,15.4032621383667,23.31305313110352,2.5109214782714844,2.5269999504089355,30.481355667114254,22.76047706604004,45.91289520263672,15.676994323730469,14.39163589477539
2009-01-22,22.11730194091797,13.396556854248049,23.486553192138672,2.6785597801208496,2.496999979019165,30.42386245727539,22.775806427001957,45.31624984741211,16.002586364746094,12.705927848815918
2009-01-23,22.80871963500977,13.05469799041748,23.754697799682617,2.6785597801208496,2.531500101089477,29.97035789489746,22.83711814880371,45.20618438720703,16.820032119750977,12.772771835327148
2009-01-26,22.898202896118164,12.974096298217772,23.66006088256836,2.7173612117767334,2.4814999103546143,30.00227928161621,23.2356014251709,45.53058242797852,16.97243881225586,13.092082023620604
2009-01-27,23.654695510864254,13.502175331115724,23.85722923278809,2.750404119491577,2.421999931335449,30.091707229614254,23.4501895904541,45.715946197509766,17.360383987426758,13.11436367034912
2009-01-28,24.394916534423828,13.799567222595217,25.237401962280277,2.8555943965911865,2.5179998874664307,29.92563247680664,23.603458404541016,45.90711975097656,19.161535263061523,13.3965482711792
2009-01-29,23.33745574951172,13.53830623626709,24.62223625183105,2.819216728210449,2.5,28.64173698425293,23.61878204345703,44.60375213623047,17.616697311401367,13.0623779296875
2009-01-30,23.04461669921875,13.271486282348633,23.928207397460938,2.7322163581848145,2.940999984741211,27.140670776367188,23.220287322998047,44.30254364013672,17.672119140625,12.69849967956543
2009-02-02,23.71163749694824,12.949081420898438,23.85722923278809,2.7740490436553955,3.057499885559082,27.095949172973636,23.00571060180664,44.42417526245117,17.457366943359375,13.240599632263184
2009-02-03,24.19156265258789,13.424352645874023,24.13326072692871,2.818610191345215,3.179500102996826,28.74393844604492,23.0670108795166,45.25252914428711,16.660701751708984,13.738147735595703
2009-02-04,23.57334518432617,13.343750953674316,23.849334716796875,2.8358895778656006,3.052999973297119,28.76310920715332,23.542146682739254,44.986061096191406,16.653772354125977,13.834689140319824
2009-02-05,23.426931381225582,13.460482597351074,24.164813995361328,2.9241037368774414,3.1589999198913574,29.3252010345459,23.71074104309082,46.21410751342773,17.00014305114746,14.139150619506836
2009-02-06,23.540809631347656,13.880170822143556,23.817798614501957,3.0229291915893555,3.327500104904175,30.066160202026367,24.032609939575195,46.77299880981445,19.140756607055664,14.599573135375977
2009-02-09,24.012605667114254,13.78566837310791,23.69160461425781,3.107504367828369,3.3355000019073486,30.187515258789062,24.0019474029541,46.2723388671875,18.898290634155277,14.43619441986084
2009-02-10,22.751785278320312,13.18254852294922,22.80041885375977,2.965635299682617,3.1654999256134038,28.565088272094727,23.31224250793457,44.32783508300781,17.055566787719727,13.960928916931152
2009-02-11,23.223567962646484,13.17698860168457,22.80830192565918,2.9350171089172363,3.2174999713897705,28.93556404113769,23.2499942779541,43.41960525512695,18.07391929626465,14.265398025512695
2009-02-12,23.98006820678711,13.23257541656494,22.76098251342773,3.009286403656006,3.197999954223633,28.68006896972656,23.15662384033203,43.792213439941406,18.14319229125977,14.30252456665039
2009-02-13,23.55707550048828,13.046360969543455,22.753087997436523,3.0059521198272705,3.1630001068115234,28.64173698425293,22.938758850097656,43.425437927246094,17.104061126708984,14.176287651062012
2009-02-17,23.117826461791992,12.751749038696287,21.475454330444336,2.865597009658813,3.0834999084472656,27.43449211120605,21.958335876464844,41.49839401245117,14.998093605041504,13.525793075561523
2009-02-18,23.04461669921875,12.787879943847656,21.23885536193848,2.8607468605041504,3.117500066757202,27.29396629333496,22.425189971923828,41.88264846801758,14.901108741760254,13.54821491241455
2009-02-19,23.304914474487305,12.751749038696287,20.702560424804688,2.747675895690918,3.0975000858306885,27.71358108520508,22.56525611877441,42.01070785522461,14.27070426940918,13.391204833984377
2009-02-20,22.759918212890625,12.793437957763672,20.97858428955078,2.7646517753601074,3.193000078201294,27.629669189453125,22.036136627197266,41.46927261352539,13.78577709197998,13.45849323272705
