Date,CSCO,UAL,TROW,ISRG,NVR,TPR,DVN,CE,MRO,BA
2018-11-27,39.63041305541992,93.37999725341795,79.44664764404297,165.6199951171875,2468.760009765625,32.4340934753418,20.588638305664062,90.1085433959961,15.111663818359377,309.0287475585937
2018-11-28,40.635772705078125,94.4800033569336,82.35250091552734,173.96665954589844,2562.7099609375,33.441688537597656,20.78980827331543,90.35131072998048,15.477718353271484,324.0608825683594
2018-11-29,40.678749084472656,95.06999969482422,81.95891571044922,173.6566619873047,2473.77001953125,33.01606750488281,20.820756912231445,90.40525817871094,15.534037590026855,332.864501953125
2018-11-30,41.1341667175293,96.6999969482422,83.2066879272461,176.9566650390625,2450.0,33.815185546875,20.913604736328125,90.74691772460938,15.665445327758787,336.94561767578125
2018-12-03,41.88174819946289,96.45999908447266,83.39091491699219,182.97666931152344,2533.72998046875,34.34504699707031,22.25987243652344,91.39427185058594,16.47264862060547,349.7719421386719
2018-12-04,40.68733596801758,91.94000244140624,79.78163146972656,172.94000244140625,2437.949951171875,33.19847869873047,21.79564094543457,86.35028839111328,15.78746223449707,332.80615234375
2018-12-06,41.58099365234375,93.02999877929688,79.43828582763672,173.02999877929688,2492.389892578125,32.933807373046875,21.470678329467773,85.10951232910156,15.224295616149902,322.50616455078125
2018-12-07,39.9053840637207,88.2300033569336,78.11514282226562,163.89666748046875,2456.760009765625,30.970748901367188,21.04513359069824,82.05254364013672,15.064732551574709,314.0718688964844
2018-12-10,40.26628112792969,88.55000305175781,77.42008209228516,166.0366668701172,2391.659912109375,31.408933639526367,20.32557487487793,80.67691802978516,14.360773086547852,317.1132507324219
2018-12-11,40.46392440795898,88.13999938964844,77.0683364868164,169.35333251953125,2411.27001953125,30.63772773742676,20.69696044921875,79.5890121459961,14.388931274414062,312.9154968261719
2018-12-12,40.74748611450195,89.62999725341797,78.73481750488281,171.8766632080078,2443.77001953125,31.584205627441406,21.107030868530277,79.81376647949219,14.567268371582031,317.4436340332031
2018-12-13,40.79045486450195,87.4800033569336,78.68421173095703,170.75,2441.929931640625,30.523813247680664,20.850954055786133,78.95062255859375,14.66112995147705,316.2581787109375
2018-12-14,39.37262725830078,87.73999786376953,77.59580993652344,163.93666076660156,2446.010009765625,30.322242736816406,20.051677703857425,77.94364166259766,14.11673355102539,309.7283630371094
2018-12-17,37.98057556152344,86.20999908447266,76.8027572631836,160.5833282470703,2453.3798828125,30.436166763305664,19.79560089111328,75.89366149902344,13.81637954711914,307.1824951171875
2018-12-18,37.86026763916016,87.80000305175781,76.60869598388672,160.7866668701172,2479.81005859375,30.39235115051269,18.94200325012207,76.86467742919922,13.36584186553955,318.7748718261719
2018-12-19,37.069732666015625,86.37000274658203,74.59223175048828,157.30667114257812,2441.43994140625,29.75260734558105,18.507448196411133,76.21736145019531,13.009170532226562,310.5057067871094
2018-12-20,36.511192321777344,84.41000366210938,73.65571594238281,153.2933349609375,2452.919921875,29.27936172485352,17.467618942260742,79.75982666015625,12.77451515197754,304.1896667480469
2018-12-21,35.96125030517578,81.47000122070312,73.21697998046875,148.67333984375,2346.139892578125,28.75354766845703,17.002023696899414,78.12344360351562,12.62433910369873,295.9302673339844
2018-12-24,34.61215591430664,79.12000274658203,71.67298889160156,144.9633331298828,2319.1201171875,28.306602478027344,16.280345916748047,75.9385986328125,11.882834434509276,285.8343200683594
2018-12-26,36.49401092529297,83.80000305175781,75.63842010498047,153.9933319091797,2431.639892578125,29.70001983642578,17.62281608581543,78.8607177734375,13.300140380859377,305.0447692871094
2018-12-27,36.87209701538086,83.04000091552734,77.03897094726562,156.23333740234375,2441.0,29.92787742614746,17.770254135131836,80.57801055908203,13.41277313232422,308.1639709472656
2018-12-28,36.751800537109375,83.16999816894531,77.06428527832031,157.06666564941406,2419.590087890625,29.62991142272949,17.42881965637207,80.46112060546875,13.21566677093506,307.4254455566406
2018-12-31,37.23299026489258,83.7300033569336,77.89111328125,159.63999938964844,2436.989990234375,29.577333450317383,17.49089813232422,80.89270782470703,13.459704399108888,313.3722229003906
2019-01-02,36.90645980834961,84.18000030517578,77.48615264892578,155.3433380126953,2420.820068359375,30.155725479125977,18.010812759399414,82.00758361816406,13.81637954711914,314.6451416015625
2019-01-03,35.56425094604492,80.0,74.9297103881836,150.0800018310547,2381.93994140625,28.93758773803711,18.251371383666992,79.0135498046875,13.722515106201172,302.1005554199219
2019-01-04,37.16624450683594,82.68000030517578,77.60426330566406,157.22666931152344,2412.830078125,30.033042907714844,19.066164016723636,82.23236846923828,14.464017868041992,317.8226013183594
2019-01-07,37.41737365722656,83.2300033569336,77.49457550048828,159.47999572753906,2471.010009765625,30.33100700378418,19.67144203186035,83.00560760498047,14.66112995147705,318.8233947753906
2019-01-08,37.72045135498047,82.37999725341797,77.89111328125,160.99667358398438,2494.9599609375,31.04085922241211,19.826642990112305,84.16546630859375,14.529722213745115,330.89190673828125
2019-01-09,37.51261901855469,83.76000213623047,78.16954040527344,172.3699951171875,2531.530029296875,32.425514221191406,20.043920516967773,84.55207824707031,15.083505630493164,334.0984802246094
2019-01-10,37.44335174560547,81.37000274658203,77.86582946777344,172.69000244140625,2563.3701171875,31.645553588867188,20.40087890625,84.9027099609375,15.346315383911133,342.6299743652344
2019-01-11,37.65983963012695,80.06999969482422,76.14463806152344,168.44000244140625,2586.10009765625,31.855880737304688,20.455198287963867,85.19942474365234,15.121048927307127,342.91180419921875
