Date,TROW,QRVO,EQIX,MDT,DVN,TER,TPR,GILD,NVR,CSCO,CE,VRTX,ISRG,UAL,V,BA,MRO
2009-01-07,21.65888023376465,,45.30908966064453,22.640403747558597,46.2443733215332,4.870031833648682,14.76019287109375,18.273170471191406,484.30999755859375,11.933650016784668,11.456748962402344,31.520000457763672,13.0977783203125,12.0600004196167,12.690653800964355,33.57355499267578,12.841588973999023
2009-01-08,21.60803985595703,,46.24507141113281,22.99728202819824,45.67521286010742,5.06520414352417,14.308357238769531,18.32942771911621,496.3599853515625,12.085232734680176,11.440950393676758,31.770000457763672,12.282221794128418,12.770000457763672,12.555549621582031,33.59606170654297,13.2888765335083
2009-01-09,20.21029281616211,,45.23109817504883,23.24709701538086,44.9552116394043,4.870031833648682,12.39829158782959,17.916854858398438,484.1499938964844,11.506464958190918,11.820209503173828,29.90999984741211,11.311111450195312,12.239999771118164,12.52402687072754,33.34103012084961,12.908679008483888
2009-01-12,19.543176651000977,,43.38253402709961,23.161439895629883,43.30265045166016,4.702739715576172,11.816370010375977,17.871850967407227,455.6700134277344,11.299758911132812,10.761449813842772,29.520000457763672,11.194443702697754,11.649999618530272,11.92507266998291,32.8084716796875,12.416664123535156
2009-01-13,19.74012756347656,,43.959720611572266,23.161439895629883,44.11180877685547,4.739917278289795,11.761600494384766,18.15689468383789,461.5799865722656,11.334211349487305,10.62672996520996,31.229999542236328,11.405555725097656,11.039999961853027,11.96560287475586,31.848360061645508,12.810274124145508
2009-01-14,18.450389862060547,,41.12839889526367,23.132896423339844,41.89694595336914,4.63768196105957,10.987993240356444,17.860593795776367,441.5499877929688,10.845010757446287,10.14333152770996,30.030000686645508,11.0377779006958,10.270000457763672,11.476981163024902,30.90327453613281,12.27353572845459
2009-01-15,18.03740882873535,,41.03479766845703,22.85452651977539,41.09467697143555,4.554036617279053,11.508296012878418,18.014366149902344,439.75,10.8932466506958,9.968998908996582,30.86000061035156,11.186667442321776,11.140000343322754,11.118962287902832,30.723255157470703,12.371940612792969
2009-01-16,18.60921669006348,,41.89277267456055,23.354156494140625,40.23754119873047,4.749209403991699,11.638371467590332,18.108139038085938,453.6000061035156,10.900135040283203,9.556923866271973,30.75,11.10777759552002,11.949999809265137,10.675373077392578,31.848360061645508,12.729765892028809
2009-01-20,17.135215759277344,,38.055274963378906,22.73318862915039,37.57696914672852,4.210161685943604,10.86476230621338,17.703073501586914,414.0400085449219,10.34203815460205,8.89126968383789,29.479999542236328,10.516667366027832,11.619999885559082,9.55176830291748,30.27320671081543,11.848613739013672
2009-01-21,18.837947845458984,,41.52618408203125,23.518325805664062,40.7586669921875,4.386745929718018,10.07746410369873,18.528215408325195,426.55999755859375,10.81745433807373,9.406357765197754,31.530000686645508,10.777777671813965,10.90999984741211,9.948070526123049,31.70585823059082,12.774496078491213
2009-01-22,17.891279220581055,,39.537235260009766,23.575420379638672,39.36668014526367,4.200867176055908,9.885770797729492,18.265661239624023,433.3399963378906,10.59007740020752,9.057684898376465,30.979999542236328,10.66777801513672,11.449999809265137,9.948070526123049,31.6983585357666,12.61794376373291
2009-01-23,19.02220916748047,,40.488807678222656,23.07578659057617,42.40438461303711,4.498271942138672,9.85838508605957,18.09688949584961,440.7799987792969,10.948366165161133,9.445982933044434,30.940000534057617,10.365555763244627,11.829999923706056,9.979591369628906,31.48834228515625,12.984719276428224
2009-01-26,18.57110023498535,,41.494998931884766,23.56828498840332,42.91181182861328,4.646975517272949,9.913153648376465,18.149396896362305,446.2999877929688,11.230856895446776,9.366738319396973,31.43000030517578,11.005556106567385,12.109999656677246,9.590047836303713,32.26091003417969,13.244146347045898
2009-01-27,18.888776779174805,,41.61978912353516,24.31772994995117,42.3838119506836,4.730623245239258,9.80361557006836,18.08938217163086,437.989990234375,11.52713394165039,9.390511512756348,31.63999938964844,11.277777671813965,11.039999961853027,9.941314697265623,32.41843032836914,12.796860694885254
2009-01-28,21.22048759460449,,44.78651428222656,24.64605140686035,44.24893951416016,4.879324913024902,10.529303550720217,18.955787658691406,456.5499877929688,11.63048267364502,9.580698013305664,32.540000915527344,11.662221908569336,11.720000267028809,10.632586479187012,32.43343734741211,13.190472602844238
2009-01-29,18.96501922607422,,43.8037338256836,23.860923767089844,43.09009552001953,4.63768196105957,10.166459083557127,18.9932918548584,431.55999755859375,10.975926399230955,9.152777671813965,33.720001220703125,11.334444046020508,10.5,10.418678283691406,30.53573226928711,12.66714572906494
2009-01-30,17.52277946472168,,41.61199188232422,23.903738021850582,42.23979949951172,4.470390796661377,9.99530792236328,19.042049407958984,426.0899963378906,10.31447410583496,8.439576148986816,33.04999923706055,11.470000267028809,9.4399995803833,11.112207412719728,31.735862731933597,12.179603576660156
2009-02-02,17.510074615478516,,42.78976440429688,24.082189559936523,41.19065856933594,4.479686260223389,9.564002990722656,19.45461845397949,400.0,10.54874038696289,8.289008140563965,32.75,11.434444427490234,9.079999923706056,11.251812934875488,30.603240966796875,12.02305793762207
2009-02-03,16.881086349487305,,41.96297073364258,24.24635505676269,42.45237350463867,4.461097717285156,10.145918846130373,19.80343246459961,404.5,10.762332916259766,7.528257369995117,33.20000076293945,12.50333309173584,8.970000267028809,10.896037101745604,31.57085227966309,12.00516128540039
2009-02-04,17.05898094177246,,42.711761474609375,24.16069984436035,39.83296203613281,4.572625160217285,10.022690773010254,19.488380432128903,399.0299987792969,10.913915634155272,7.924479007720947,33.38999938964844,12.001111030578612,8.539999961853027,11.062663078308104,31.798139572143555,12.00516128540039
